user_id,item_id
1.0,43.0
1.0,214.0
1.0,263.0
1.0,599.0
1.0,26.0
1.0,665.0
1.0,668.0
1.0,800.0
1.0,190.0
1.0,154.0
2.0,36.0
2.0,73.0
2.0,85.0
2.0,290.0
2.0,154.0
2.0,318.0
2.0,527.0
2.0,552.0
2.0,199.0
2.0,136.0
3.0,249.0
3.0,123.0
3.0,214.0
3.0,260.0
3.0,68.0
3.0,263.0
3.0,266.0
3.0,290.0
3.0,86.0
3.0,58.0
4.0,913.0
4.0,911.0
4.0,58.0
4.0,872.0
4.0,678.0
4.0,187.0
4.0,116.0
4.0,111.0
4.0,154.0
4.0,28.0
5.0,123.0
5.0,16.0
5.0,47.0
5.0,35.0
5.0,50.0
5.0,147.0
5.0,154.0
5.0,162.0
5.0,121.0
5.0,29.0
6.0,17.0
6.0,28.0
6.0,53.0
6.0,62.0
6.0,26.0
6.0,68.0
6.0,72.0
6.0,83.0
6.0,41.0
6.0,1.0
7.0,431.0
7.0,306.0
7.0,347.0
7.0,475.0
7.0,223.0
7.0,632.0
7.0,728.0
7.0,872.0
7.0,242.0
7.0,58.0
8.0,53.0
8.0,198.0
8.0,215.0
8.0,232.0
8.0,40.0
8.0,279.0
8.0,302.0
8.0,333.0
8.0,161.0
8.0,28.0
9.0,2.0
9.0,14.0
9.0,53.0
9.0,1.0
9.0,45.0
9.0,58.0
9.0,80.0
9.0,96.0
9.0,47.0
9.0,36.0
10.0,50.0
10.0,702.0
10.0,720.0
10.0,837.0
10.0,97.0
10.0,841.0
10.0,906.0
10.0,910.0
10.0,668.0
10.0,390.0
11.0,214.0
11.0,136.0
11.0,159.0
11.0,41.0
11.0,36.0
11.0,307.0
11.0,334.0
11.0,388.0
11.0,97.0
11.0,16.0
12.0,326.0
12.0,214.0
12.0,318.0
12.0,383.0
12.0,53.0
12.0,495.0
12.0,501.0
12.0,602.0
12.0,149.0
12.0,41.0
13.0,296.0
13.0,281.0
13.0,293.0
13.0,29.0
13.0,232.0
13.0,306.0
13.0,309.0
13.0,326.0
13.0,261.0
13.0,213.0
14.0,17.0
14.0,30.0
14.0,31.0
14.0,32.0
14.0,11.0
14.0,34.0
14.0,35.0
14.0,36.0
14.0,26.0
14.0,1.0
15.0,17.0
15.0,1.0
15.0,25.0
15.0,36.0
15.0,29.0
15.0,50.0
15.0,52.0
15.0,123.0
15.0,30.0
15.0,28.0
16.0,41.0
16.0,29.0
16.0,106.0
16.0,111.0
16.0,52.0
16.0,147.0
16.0,150.0
16.0,162.0
16.0,97.0
16.0,1.0
17.0,864.0
17.0,527.0
17.0,665.0
17.0,922.0
17.0,59.0
17.0,924.0
17.0,945.0
17.0,949.0
17.0,319.0
17.0,58.0
18.0,235.0
18.0,162.0
18.0,910.0
18.0,942.0
18.0,860.0
18.0,945.0
18.0,955.0
18.0,884.0
18.0,562.0
18.0,232.0
19.0,922.0
19.0,715.0
19.0,915.0
19.0,924.0
19.0,632.0
19.0,932.0
19.0,947.0
19.0,995.0
19.0,689.0
19.0,213.0
20.0,59.0
20.0,28.0
20.0,29.0
20.0,77.0
20.0,47.0
20.0,91.0
20.0,97.0
20.0,101.0
20.0,50.0
20.0,26.0
21.0,28.0
21.0,1.0
21.0,52.0
21.0,73.0
21.0,6.0
21.0,80.0
21.0,97.0
21.0,110.0
21.0,41.0
21.0,36.0
22.0,12.0
22.0,17.0
22.0,18.0
22.0,11.0
22.0,3.0
22.0,22.0
22.0,25.0
22.0,26.0
22.0,16.0
22.0,7.0
23.0,80.0
23.0,41.0
23.0,69.0
23.0,94.0
23.0,50.0
23.0,110.0
23.0,116.0
23.0,123.0
23.0,58.0
23.0,3.0
24.0,25.0
24.0,26.0
24.0,86.0
24.0,17.0
24.0,45.0
24.0,91.0
24.0,97.0
24.0,110.0
24.0,83.0
24.0,38.0
25.0,30.0
25.0,541.0
25.0,555.0
25.0,627.0
25.0,52.0
25.0,633.0
25.0,720.0
25.0,728.0
25.0,527.0
25.0,474.0
26.0,326.0
26.0,36.0
26.0,59.0
26.0,382.0
26.0,166.0
26.0,408.0
26.0,501.0
26.0,555.0
26.0,213.0
26.0,50.0
27.0,214.0
27.0,40.0
27.0,168.0
27.0,265.0
27.0,111.0
27.0,273.0
27.0,279.0
27.0,293.0
27.0,124.0
27.0,28.0
28.0,4.0
28.0,10.0
28.0,1.0
28.0,8.0
28.0,6.0
28.0,12.0
28.0,16.0
28.0,21.0
28.0,13.0
28.0,7.0
29.0,265.0
29.0,183.0
29.0,236.0
29.0,359.0
29.0,11.0
29.0,402.0
29.0,443.0
29.0,449.0
29.0,136.0
29.0,124.0
30.0,127.0
30.0,16.0
30.0,125.0
30.0,134.0
30.0,59.0
30.0,136.0
30.0,149.0
30.0,154.0
30.0,111.0
30.0,53.0
31.0,949.0
31.0,235.0
31.0,326.0
31.0,904.0
31.0,375.0
31.0,723.0
31.0,903.0
31.0,436.0
31.0,246.0
31.0,147.0
32.0,128.0
32.0,72.0
32.0,125.0
32.0,148.0
32.0,45.0
32.0,166.0
32.0,214.0
32.0,215.0
32.0,111.0
32.0,80.0
33.0,214.0
33.0,82.0
33.0,213.0
33.0,307.0
33.0,40.0
33.0,443.0
33.0,501.0
33.0,534.0
33.0,139.0
33.0,96.0
34.0,97.0
34.0,27.0
34.0,665.0
34.0,682.0
34.0,501.0
34.0,745.0
34.0,824.0
34.0,860.0
34.0,570.0
34.0,261.0
35.0,101.0
35.0,34.0
35.0,83.0
35.0,116.0
35.0,41.0
35.0,125.0
35.0,154.0
35.0,167.0
35.0,80.0
35.0,40.0
36.0,238.0
36.0,115.0
36.0,214.0
36.0,260.0
36.0,28.0
36.0,322.0
36.0,363.0
36.0,450.0
36.0,213.0
36.0,162.0
37.0,13.0
37.0,22.0
37.0,28.0
37.0,30.0
37.0,25.0
37.0,50.0
37.0,58.0
37.0,61.0
37.0,27.0
37.0,17.0
38.0,151.0
38.0,909.0
38.0,954.0
38.0,824.0
38.0,750.0
38.0,326.0
38.0,207.0
38.0,125.0
38.0,246.0
38.0,47.0
39.0,824.0
39.0,171.0
39.0,715.0
39.0,904.0
39.0,665.0
39.0,916.0
39.0,950.0
39.0,953.0
39.0,668.0
39.0,659.0
40.0,106.0
40.0,36.0
40.0,59.0
40.0,115.0
40.0,82.0
40.0,121.0
40.0,134.0
40.0,162.0
40.0,96.0
40.0,17.0
41.0,154.0
41.0,82.0
41.0,101.0
41.0,155.0
41.0,53.0
41.0,264.0
41.0,293.0
41.0,301.0
41.0,58.0
41.0,34.0
42.0,82.0
42.0,59.0
42.0,67.0
42.0,84.0
42.0,50.0
42.0,93.0
42.0,101.0
42.0,105.0
42.0,58.0
42.0,27.0
43.0,170.0
43.0,363.0
43.0,525.0
43.0,670.0
43.0,296.0
43.0,671.0
43.0,803.0
43.0,909.0
43.0,318.0
43.0,97.0
44.0,36.0
44.0,31.0
44.0,34.0
44.0,43.0
44.0,6.0
44.0,45.0
44.0,50.0
44.0,55.0
44.0,29.0
44.0,22.0
45.0,83.0
45.0,72.0
45.0,82.0
45.0,30.0
45.0,49.0
45.0,110.0
45.0,123.0
45.0,147.0
45.0,62.0
45.0,21.0
46.0,665.0
46.0,123.0
46.0,613.0
46.0,787.0
46.0,556.0
46.0,898.0
46.0,905.0
46.0,913.0
46.0,573.0
46.0,326.0
47.0,590.0
47.0,131.0
47.0,509.0
47.0,759.0
47.0,296.0
47.0,969.0
47.0,318.0
47.0,134.0
47.0,58.0
47.0,128.0
48.0,26.0
48.0,35.0
48.0,40.0
48.0,41.0
48.0,28.0
48.0,47.0
48.0,49.0
48.0,52.0
48.0,29.0
48.0,7.0
49.0,9.0
49.0,26.0
49.0,29.0
49.0,2.0
49.0,1.0
49.0,11.0
49.0,34.0
49.0,39.0
49.0,18.0
49.0,7.0
50.0,22.0
50.0,17.0
50.0,50.0
50.0,24.0
50.0,29.0
50.0,53.0
50.0,57.0
50.0,58.0
50.0,49.0
50.0,16.0
51.0,923.0
51.0,82.0
51.0,117.0
51.0,800.0
51.0,268.0
51.0,28.0
51.0,13.0
51.0,111.0
51.0,123.0
51.0,94.0
52.0,302.0
52.0,263.0
52.0,290.0
52.0,316.0
52.0,40.0
52.0,326.0
52.0,348.0
52.0,356.0
52.0,232.0
52.0,223.0
53.0,29.0
53.0,17.0
53.0,25.0
53.0,32.0
53.0,26.0
53.0,40.0
53.0,43.0
53.0,46.0
53.0,28.0
53.0,14.0
54.0,21.0
54.0,97.0
54.0,214.0
54.0,306.0
54.0,187.0
54.0,342.0
54.0,350.0
54.0,385.0
54.0,207.0
54.0,162.0
55.0,232.0
55.0,29.0
55.0,149.0
55.0,264.0
55.0,131.0
55.0,296.0
55.0,314.0
55.0,515.0
55.0,147.0
55.0,35.0
56.0,321.0
56.0,49.0
56.0,308.0
56.0,363.0
56.0,266.0
56.0,428.0
56.0,541.0
56.0,602.0
56.0,272.0
56.0,219.0
57.0,260.0
57.0,194.0
57.0,205.0
57.0,263.0
57.0,80.0
57.0,290.0
57.0,296.0
57.0,302.0
57.0,101.0
57.0,29.0
58.0,33.0
58.0,31.0
58.0,32.0
58.0,1.0
58.0,6.0
58.0,41.0
58.0,50.0
58.0,52.0
58.0,29.0
58.0,3.0
59.0,702.0
59.0,82.0
59.0,678.0
59.0,759.0
59.0,535.0
59.0,932.0
59.0,581.0
59.0,47.0
59.0,30.0
59.0,84.0
60.0,30.0
60.0,288.0
60.0,318.0
60.0,82.0
60.0,47.0
60.0,645.0
60.0,701.0
60.0,715.0
60.0,263.0
60.0,127.0
61.0,247.0
61.0,50.0
61.0,214.0
61.0,324.0
61.0,123.0
61.0,340.0
61.0,346.0
61.0,363.0
61.0,162.0
61.0,59.0
62.0,264.0
